sample,alias,SRASample,BioSample,SRAStudy,study,NCBI_taxon_ID,NCBI_taxon_name,ORFs_filenames,Assemblies_filenames
MH0011,MH0011,ERS006540,SAMEA728667,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0011.scaftig.more500.corrected.break.fa.more100.fa,MH0011.scaftig.more500.corrected.break.fa
MH0012,MH0012,ERS006494,SAMEA728672,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0012.scaftig.more500.corrected.break.fa.more100.fa,MH0012.scaftig.more500.corrected.break.fa
MH0013,MH0013,ERS006600,SAMEA728942,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0013.scaftig.more500.corrected.break.fa.more100.fa,MH0013.scaftig.more500.corrected.break.fa
MH0014,MH0014,ERS006544,SAMEA728658,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0014.scaftig.more500.corrected.break.fa.more100.fa,MH0014.scaftig.more500.corrected.break.fa
MH0015,MH0015,ERS006548,SAMEA728692,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0015.scaftig.more500.corrected.break.fa.more100.fa,MH0015.scaftig.more500.corrected.break.fa
MH0016,MH0016,ERS006557,SAMEA728617,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0016.scaftig.more500.corrected.break.fa.more100.fa,MH0016.scaftig.more500.corrected.break.fa
MH0017,MH0017,ERS006505,SAMEA728897,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0017.scaftig.more500.corrected.break.fa.more100.fa,MH0017.scaftig.more500.corrected.break.fa
MH0018,MH0018,ERS006558,SAMEA728646,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0018.scaftig.more500.corrected.break.fa.more100.fa,MH0018.scaftig.more500.corrected.break.fa
MH0019,MH0019,ERS006537,SAMEA728913,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0019.scaftig.more500.corrected.break.fa.more100.fa,MH0019.scaftig.more500.corrected.break.fa
MH0020,MH0020,ERS006597,SAMEA728774,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0020.scaftig.more500.corrected.break.fa.more100.fa,MH0020.scaftig.more500.corrected.break.fa
MH0021,MH0021,ERS006499,SAMEA728839,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0021.scaftig.more500.corrected.break.fa.more100.fa,MH0021.scaftig.more500.corrected.break.fa
MH0022,MH0022,ERS006503,SAMEA728878,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0022.scaftig.more500.corrected.break.fa.more100.fa,MH0022.scaftig.more500.corrected.break.fa
MH0023,MH0023,ERS006570,SAMEA728714,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0023.scaftig.more500.corrected.break.fa.more100.fa,MH0023.scaftig.more500.corrected.break.fa
MH0024,MH0024,ERS006585,SAMEA728862,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0024.scaftig.more500.corrected.break.fa.more100.fa,MH0024.scaftig.more500.corrected.break.fa
MH0025,MH0025,ERS006488,SAMEA728950,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0025.scaftig.more500.corrected.break.fa.more100.fa,MH0025.scaftig.more500.corrected.break.fa
MH0026,MH0026,ERS006571,SAMEA728712,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0026.scaftig.more500.corrected.break.fa.more100.fa,MH0026.scaftig.more500.corrected.break.fa
MH0027,MH0027,ERS006596,SAMEA728777,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0027.scaftig.more500.corrected.break.fa.more100.fa,MH0027.scaftig.more500.corrected.break.fa
MH0028,MH0028,ERS006533,SAMEA728923,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0028.scaftig.more500.corrected.break.fa.more100.fa,MH0028.scaftig.more500.corrected.break.fa
MH0030,MH0030,ERS006527,SAMEA728589,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0030.scaftig.more500.corrected.break.fa.more100.fa,MH0030.scaftig.more500.corrected.break.fa
MH0031,MH0031,ERS006490,SAMEA728685,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0031.scaftig.more500.corrected.break.fa.more100.fa,MH0031.scaftig.more500.corrected.break.fa
MH0032,MH0032,ERS006504,SAMEA728905,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0032.scaftig.more500.corrected.break.fa.more100.fa,MH0032.scaftig.more500.corrected.break.fa
MH0033,MH0033,ERS006568,SAMEA728728,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0033.scaftig.more500.corrected.break.fa.more100.fa,MH0033.scaftig.more500.corrected.break.fa
MH0034,MH0034,ERS006538,SAMEA728910,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0034.scaftig.more500.corrected.break.fa.more100.fa,MH0034.scaftig.more500.corrected.break.fa
MH0035,MH0035,ERS006489,SAMEA728946,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0035.scaftig.more500.corrected.break.fa.more100.fa,MH0035.scaftig.more500.corrected.break.fa
MH0036,MH0036,ERS006556,SAMEA728622,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0036.scaftig.more500.corrected.break.fa.more100.fa,MH0036.scaftig.more500.corrected.break.fa
MH0037,MH0037,ERS006604,SAMEA728799,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0037.scaftig.more500.corrected.break.fa.more100.fa,MH0037.scaftig.more500.corrected.break.fa
MH0038,MH0038,ERS006531,SAMEA728929,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0038.scaftig.more500.corrected.break.fa.more100.fa,MH0038.scaftig.more500.corrected.break.fa
MH0039,MH0039,ERS006580,SAMEA728848,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0039.scaftig.more500.corrected.break.fa.more100.fa,MH0039.scaftig.more500.corrected.break.fa
MH0040,MH0040,ERS006547,SAMEA728655,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0040.scaftig.more500.corrected.break.fa.more100.fa,MH0040.scaftig.more500.corrected.break.fa
MH0041,MH0041,ERS006608,SAMEA728812,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0041.scaftig.more500.corrected.break.fa.more100.fa,MH0041.scaftig.more500.corrected.break.fa
MH0042,MH0042,ERS006532,SAMEA728925,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0042.scaftig.more500.corrected.break.fa.more100.fa,MH0042.scaftig.more500.corrected.break.fa
MH0043,MH0043,ERS006607,SAMEA728802,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0043.scaftig.more500.corrected.break.fa.more100.fa,MH0043.scaftig.more500.corrected.break.fa
MH0044,MH0044,ERS006525,SAMEA728582,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0044.scaftig.more500.corrected.break.fa.more100.fa,MH0044.scaftig.more500.corrected.break.fa
MH0045,MH0045,ERS006507,SAMEA728890,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0045.scaftig.more500.corrected.break.fa.more100.fa,MH0045.scaftig.more500.corrected.break.fa
MH0046,MH0046,ERS006516,SAMEA728831,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0046.scaftig.more500.corrected.break.fa.more100.fa,MH0046.scaftig.more500.corrected.break.fa
MH0047,MH0047,ERS006592,SAMEA728766,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0047.scaftig.more500.corrected.break.fa.more100.fa,MH0047.scaftig.more500.corrected.break.fa
MH0048,MH0048,ERS006501,SAMEA728884,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0048.scaftig.more500.corrected.break.fa.more100.fa,MH0048.scaftig.more500.corrected.break.fa
MH0049,MH0049,ERS006529,SAMEA728599,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0049.scaftig.more500.corrected.break.fa.more100.fa,MH0049.scaftig.more500.corrected.break.fa
MH0050,MH0050,ERS006579,SAMEA728700,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0050.scaftig.more500.corrected.break.fa.more100.fa,MH0050.scaftig.more500.corrected.break.fa
MH0051,MH0051,ERS006578,SAMEA728703,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0051.scaftig.more500.corrected.break.fa.more100.fa,MH0051.scaftig.more500.corrected.break.fa
MH0052,MH0052,ERS006500,SAMEA728881,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0052.scaftig.more500.corrected.break.fa.more100.fa,MH0052.scaftig.more500.corrected.break.fa
MH0053,MH0053,ERS006495,SAMEA728674,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0053.scaftig.more500.corrected.break.fa.more100.fa,MH0053.scaftig.more500.corrected.break.fa
MH0054,MH0054,ERS006551,SAMEA728627,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0054.scaftig.more500.corrected.break.fa.more100.fa,MH0054.scaftig.more500.corrected.break.fa
MH0055,MH0055,ERS006550,SAMEA728630,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0055.scaftig.more500.corrected.break.fa.more100.fa,MH0055.scaftig.more500.corrected.break.fa
MH0056,MH0056,ERS006513,SAMEA728814,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0056.scaftig.more500.corrected.break.fa.more100.fa,MH0056.scaftig.more500.corrected.break.fa
MH0057,MH0057,ERS006565,SAMEA728737,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0057.scaftig.more500.corrected.break.fa.more100.fa,MH0057.scaftig.more500.corrected.break.fa
MH0058,MH0058,ERS006564,SAMEA728734,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0058.scaftig.more500.corrected.break.fa.more100.fa,MH0058.scaftig.more500.corrected.break.fa
MH0059,MH0059,ERS006581,SAMEA728851,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0059.scaftig.more500.corrected.break.fa.more100.fa,MH0059.scaftig.more500.corrected.break.fa
MH0060,MH0060,ERS006562,SAMEA728752,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0060.scaftig.more500.corrected.break.fa.more100.fa,MH0060.scaftig.more500.corrected.break.fa
MH0061,MH0061,ERS006506,SAMEA728887,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0061.scaftig.more500.corrected.break.fa.more100.fa,MH0061.scaftig.more500.corrected.break.fa
MH0062,MH0062,ERS006508,SAMEA728870,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0062.scaftig.more500.corrected.break.fa.more100.fa,MH0062.scaftig.more500.corrected.break.fa
MH0063,MH0063,ERS006588,SAMEA728865,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0063.scaftig.more500.corrected.break.fa.more100.fa,MH0063.scaftig.more500.corrected.break.fa
MH0064,MH0064,ERS006536,SAMEA728916,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0064.scaftig.more500.corrected.break.fa.more100.fa,MH0064.scaftig.more500.corrected.break.fa
MH0065,MH0065,ERS006549,SAMEA728697,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0065.scaftig.more500.corrected.break.fa.more100.fa,MH0065.scaftig.more500.corrected.break.fa
MH0066,MH0066,ERS006528,SAMEA728594,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0066.scaftig.more500.corrected.break.fa.more100.fa,MH0066.scaftig.more500.corrected.break.fa
MH0067,MH0067,ERS006535,SAMEA728918,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0067.scaftig.more500.corrected.break.fa.more100.fa,MH0067.scaftig.more500.corrected.break.fa
MH0068,MH0068,ERS006530,SAMEA728933,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0068.scaftig.more500.corrected.break.fa.more100.fa,MH0068.scaftig.more500.corrected.break.fa
MH0069,MH0069,ERS006561,SAMEA728749,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0069.scaftig.more500.corrected.break.fa.more100.fa,MH0069.scaftig.more500.corrected.break.fa
MH0070,MH0070,ERS006554,SAMEA728614,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0070.scaftig.more500.corrected.break.fa.more100.fa,MH0070.scaftig.more500.corrected.break.fa
MH0071,MH0071,ERS006590,SAMEA728760,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0071.scaftig.more500.corrected.break.fa.more100.fa,MH0071.scaftig.more500.corrected.break.fa
MH0072,MH0072,ERS006487,SAMEA728602,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0072.scaftig.more500.corrected.break.fa.more100.fa,MH0072.scaftig.more500.corrected.break.fa
MH0073,MH0073,ERS006542,SAMEA728835,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0073.scaftig.more500.corrected.break.fa.more100.fa,MH0073.scaftig.more500.corrected.break.fa
MH0074,MH0074,ERS006517,SAMEA728829,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0074.scaftig.more500.corrected.break.fa.more100.fa,MH0074.scaftig.more500.corrected.break.fa
MH0075,MH0075,ERS006493,SAMEA728902,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0075.scaftig.more500.corrected.break.fa.more100.fa,MH0075.scaftig.more500.corrected.break.fa
MH0076,MH0076,ERS006569,SAMEA728731,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0076.scaftig.more500.corrected.break.fa.more100.fa,MH0076.scaftig.more500.corrected.break.fa
MH0077,MH0077,ERS006496,SAMEA728676,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0077.scaftig.more500.corrected.break.fa.more100.fa,MH0077.scaftig.more500.corrected.break.fa
MH0078,MH0078,ERS006486,SAMEA728607,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0078.scaftig.more500.corrected.break.fa.more100.fa,MH0078.scaftig.more500.corrected.break.fa
MH0079,MH0079,ERS006573,SAMEA728706,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0079.scaftig.more500.corrected.break.fa.more100.fa,MH0079.scaftig.more500.corrected.break.fa
MH0080,MH0080,ERS006584,SAMEA728859,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0080.scaftig.more500.corrected.break.fa.more100.fa,MH0080.scaftig.more500.corrected.break.fa
MH0081,MH0081,ERS006519,SAMEA728785,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0081.scaftig.more500.corrected.break.fa.more100.fa,MH0081.scaftig.more500.corrected.break.fa
MH0082,MH0082,ERS006555,SAMEA728611,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0082.scaftig.more500.corrected.break.fa.more100.fa,MH0082.scaftig.more500.corrected.break.fa
MH0083,MH0083,ERS006514,SAMEA728826,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0083.scaftig.more500.corrected.break.fa.more100.fa,MH0083.scaftig.more500.corrected.break.fa
MH0084,MH0084,ERS006541,SAMEA728670,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0084.scaftig.more500.corrected.break.fa.more100.fa,MH0084.scaftig.more500.corrected.break.fa
MH0085,MH0085,ERS006511,SAMEA728808,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0085.scaftig.more500.corrected.break.fa.more100.fa,MH0085.scaftig.more500.corrected.break.fa
MH0086,MH0086,ERS006593,SAMEA728763,ERP000108,"Qin, J. et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010).",408170,human gut metagenome,MH0086.scaftig.more500.corrected.break.fa.more100.fa,MH0086.scaftig.more500.corrected.break.fa
MH0087,MH0087,ERS328801,SAMEA2147589,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0087.scaftig.more500.corrected.break.fa.more100.fa,MH0087.scaftig.more500.corrected.break.fa
MH0088,MH0088,ERS328802,SAMEA1964852,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0088.scaftig.more500.corrected.break.fa.more100.fa,MH0088.scaftig.more500.corrected.break.fa
MH0089,MH0089,ERS328803,SAMEA1969126,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0089.scaftig.more500.corrected.break.fa.more100.fa,MH0089.scaftig.more500.corrected.break.fa
MH0090,MH0090,ERS328804,SAMEA2151677,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0090.scaftig.more500.corrected.break.fa.more100.fa,MH0090.scaftig.more500.corrected.break.fa
MH0091,MH0091,ERS328805,SAMEA2150876,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0091.scaftig.more500.corrected.break.fa.more100.fa,MH0091.scaftig.more500.corrected.break.fa
MH0092,MH0092,ERS328806,SAMEA2159429,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0092.scaftig.more500.corrected.break.fa.more100.fa,MH0092.scaftig.more500.corrected.break.fa
MH0093,MH0093,ERS328807,SAMEA2163504,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0093.scaftig.more500.corrected.break.fa.more100.fa,MH0093.scaftig.more500.corrected.break.fa
MH0094,MH0094,ERS328808,SAMEA2155310,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0094.scaftig.more500.corrected.break.fa.more100.fa,MH0094.scaftig.more500.corrected.break.fa
MH0095,MH0095,ERS328809,SAMEA2157192,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0095.scaftig.more500.corrected.break.fa.more100.fa,MH0095.scaftig.more500.corrected.break.fa
MH0096,MH0096,ERS328810,SAMEA2146731,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0096.scaftig.more500.corrected.break.fa.more100.fa,MH0096.scaftig.more500.corrected.break.fa
MH0097,MH0097,ERS328811,SAMEA1964695,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0097.scaftig.more500.corrected.break.fa.more100.fa,MH0097.scaftig.more500.corrected.break.fa
MH0098,MH0098,ERS328812,SAMEA2151391,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0098.scaftig.more500.corrected.break.fa.more100.fa,MH0098.scaftig.more500.corrected.break.fa
